"id","sri","mp_start","mp_end","class"
212,"00000179__",0.110000000000000,0.320000000000000,Minor Arterial
213,"00000179__",0.370000000000000,7.460000000000000,Minor Arterial
215,"00000181__",0.000000000000000,4.750000000000000,Major Collector
216,"00000181__",4.750000000000000,5.020000000000000,Collector
217,"00000181__",5.020000000000000,5.820000000000000,Minor Arterial
218,"00000181__",5.820000000000000,5.980000000000000,Collector
219,"00000181__",5.980000000000000,7.470000000000000,Major Collector
214,"00000181Z_",0.000000000000000,0.120000000000000,Minor Arterial
220,"00000182__",0.000000000000000,0.960000000000000,Accessible Principal Art
221,"00000183__",0.000000000000000,2.120000000000000,Accessible Principal Art
222,"00000184__",0.000000000000000,1.370000000000000,Accessible Principal Art
223,"00000185__",0.000000000000000,0.650000000000000,Accessible Principal Art
224,"00000187__",0.000000000000000,0.400000000000000,Accessible Principal Art
225,"00000195__",0.000000000000000,34.170000000000002,Limited Access
226,"00000202__",0.350000000000000,0.630000000000000,Limited Access
227,"00000202__",0.630000000000000,31.510000000000002,Accessible Principal Art
228,"00000202__",31.510000000000002,44.530000000000001,Minor Arterial
229,"00000202__",44.530000000000001,46.990000000000002,Accessible Principal Art
230,"00000202__",50.060000000000002,50.630000000000003,Accessible Principal Art
231,"00000202__",51.430000000000000,51.530000000000001,Accessible Principal Art
232,"00000202__",51.530000000000001,51.820000000000000,Minor Arterial
233,"00000202__",62.950000000000003,65.370000000000005,Accessible Principal Art
234,"00000202__",72.370000000000005,72.689999999999998,Accessible Principal Art
235,"00000206__",0.000000000000000,35.609999999999999,Accessible Principal Art
236,"00000206__",36.270000000000003,38.899999999999999,Accessible Principal Art
237,"00000206__",44.500000000000000,71.640000000000001,Accessible Principal Art
238,"00000206__",78.319999999999993,95.609999999999999,Accessible Principal Art
239,"00000206__",97.120000000000005,129.280000000000001,Accessible Principal Art
240,"00000208__",0.000000000000000,10.070000000000000,Limited Access
241,"00000278__",0.000000000000000,0.900000000000000,Limited Access
242,"00000280__",0.000000000000000,17.250000000000000,Limited Access
243,"00000284__",0.000000000000000,7.030000000000000,Minor Arterial
245,"00000287__",0.000000000000000,67.540000000000006,Limited Access
244,"00000287E_",17.840000000000000,20.940000000000001,Limited Access
246,"00000295__",0.950000000000000,76.359999999999999,Limited Access
247,"00000322__",2.220000000000000,34.549999999999997,Accessible Principal Art
248,"00000322__",34.549999999999997,50.090000000000003,Minor Arterial
249,"00000324__",0.000000000000000,1.510000000000000,Local Roads
250,"00000439__",0.000000000000000,3.950000000000000,Accessible Principal Art
251,"00000440__",0.000000000000000,3.980000000000000,Limited Access
252,"00000440__",18.850000000000001,26.180000000000000,Accessible Principal Art
253,"00000495__",0.790000000000000,1.870000000000000,Limited Access
254,"00000676__",0.000000000000000,3.790000000000000,Limited Access
105,"00000047__",62.869999999999997,64.120000000000005,Accessible Principal Art
106,"00000047__",64.120000000000005,75.200000000000003,Minor Arterial
107,"00000048__",0.000000000000000,2.130000000000000,Minor Arterial
108,"00000048__",2.130000000000000,4.260000000000000,Major Collector
109,"00000049__",0.000000000000000,37.840000000000003,Accessible Principal Art
110,"00000049__",37.840000000000003,53.799999999999997,Minor Arterial
111,"00000050__",0.000000000000000,18.500000000000000,Minor Arterial
112,"00000050__",19.120000000000001,26.020000000000000,Minor Arterial
113,"00000052__",0.000000000000000,2.740000000000000,Accessible Principal Art
114,"00000053__",0.000000000000000,4.630000000000000,Accessible Principal Art
115,"00000053__",4.630000000000000,4.660000000000000,Minor Arterial
116,"00000054__",0.000000000000000,6.670000000000000,Minor Arterial
117,"00000054__",6.670000000000000,8.710000000000001,Accessible Principal Art
118,"00000054__",8.710000000000001,11.859999999999999,Minor Arterial
119,"00000055__",20.000000000000000,21.750000000000000,Accessible Principal Art
120,"00000055__",21.750000000000000,45.390000000000001,Limited Access
121,"00000055__",45.390000000000001,48.399999999999999,Accessible Principal Art
122,"00000055__",48.399999999999999,60.539999999999999,Limited Access
123,"00000056__",0.000000000000000,9.190000000000000,Minor Arterial
124,"00000057__",0.000000000000000,21.100000000000001,Accessible Principal Art
125,"00000059__",0.000000000000000,0.150000000000000,Collector
126,"00000062__",0.000000000000000,0.470000000000000,Accessible Principal Art
127,"00000063__",0.000000000000000,3.090000000000000,Accessible Principal Art
128,"00000064__",0.000000000000000,0.320000000000000,Accessible Principal Art
129,"00000066__",0.000000000000000,3.620000000000000,Accessible Principal Art
130,"00000067__",0.000000000000000,1.290000000000000,Minor Arterial
131,"00000067__",1.400000000000000,1.860000000000000,Accessible Principal Art
132,"00000068__",0.000000000000000,7.800000000000000,Minor Arterial
133,"00000070__",0.000000000000000,18.530000000000001,Accessible Principal Art
134,"00000070__",18.609999999999999,59.840000000000003,Accessible Principal Art
135,"00000071__",0.000000000000000,5.100000000000000,Accessible Principal Art
136,"00000071__",5.420000000000000,16.780000000000001,Minor Arterial
137,"00000072__",0.000000000000000,28.739999999999998,Accessible Principal Art
138,"00000073__",6.240000000000000,34.100000000000001,Accessible Principal Art
140,"00000076__",0.000000000000000,1.950000000000000,Limited Access
139,"00000076E_",0.000000000000000,1.170000000000000,Limited Access
141,"00000077__",0.000000000000000,22.550000000000001,Minor Arterial
143,"00000078__",4.160000000000000,58.579999999999998,Limited Access
142,"00000078E_",48.250000000000000,58.430000000000000,Limited Access
144,"00000079__",0.000000000000000,12.130000000000001,Accessible Principal Art
147,"00000080__",0.500000000000000,68.540000000000006,Limited Access
145,"00000080E_",44.240000000000002,46.130000000000003,Limited Access
146,"00000080E_",62.579999999999998,68.540000000000006,Limited Access
